Reporting Economy,Product/Sector,Partner Economy,2013,2014,2015,2016,2017,2018,2019
Albania,"MT2 - 04 - Coffee, tea",Norway,728,,,,,,
Albania,"MT2 - 04 - Coffee, tea",Pakistan,393,355,273,149,1681,,
Albania,"MT2 - 04 - Coffee, tea",Paraguay,,2,10,,,,
Albania,"MT2 - 04 - Coffee, tea",Peru,65265,34127,,,10383,,
Albania,"MT2 - 04 - Coffee, tea",Philippines,,,,611,,,
Albania,"MT2 - 04 - Coffee, tea",Poland,2703239,3919336,3839189,4136625,4376939,,
Albania,"MT2 - 04 - Coffee, tea",Portugal,174463,325528,436839,353742,426338,,
Albania,"MT2 - 04 - Coffee, tea",Romania,171142,233998,122176,166346,123426,,
Albania,"MT2 - 04 - Coffee, tea",Russian Federation,,,1161,10172,7045,,
Albania,"MT2 - 04 - Coffee, tea",Rwanda,,,,,55673,,
Albania,"MT2 - 04 - Coffee, tea",Serbia,146501,311946,197650,254252,240157,,
Albania,"MT2 - 04 - Coffee, tea",Sierra Leone,,,,145,,,
Albania,"MT2 - 04 - Coffee, tea",Singapore,24801,,,,,,
Albania,"MT2 - 04 - Coffee, tea",Slovak Republic,,615,,,36273,,
Albania,"MT2 - 04 - Coffee, tea",Slovenia,98621,,20869,21512,63355,,
Albania,"MT2 - 04 - Coffee, tea",South Africa,,172,514,9,,,
Albania,"MT2 - 04 - Coffee, tea",Spain,142862,353311,248928,313378,341783,,
Albania,"MT2 - 04 - Coffee, tea",Sri Lanka,14653,254,5260,12718,69624,,
Albania,"MT2 - 04 - Coffee, tea",Sudan,,762,,,5688,,
Albania,"MT2 - 04 - Coffee, tea",Suriname,,,4,4715,,,
Albania,"MT2 - 04 - Coffee, tea",Sweden,,43,1216,1438,1595,,
Albania,"MT2 - 04 - Coffee, tea",Switzerland,86072,154559,166908,276686,216911,,
Albania,"MT2 - 04 - Coffee, tea",Syrian Arab Republic,,18,4261,,438,,
Albania,"MT2 - 04 - Coffee, tea",Chinese Taipei,2,332,1327,,,,
